arm,vendor,model,category,task,trial,effort,mode,seconds,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,cost_usd,passed,tests_failed,grade_seconds,notes,session_path,log_path
deepseek-pro,deepseek,deepseek-v4-pro,agentic-workflow,a1_chained,1,high,agentic,134,16087,231168,11414,8240,0.018629,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_agentic-workflow-a1_chained_t1--/session-5884a3a0-57fa-4a2b-a7d8-e11331dd05bd/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_agentic-workflow-a1_chained_t1.log
grok,grok,grok-4.6,agentic-workflow,a1_chained,1,high,agentic,43,16221,93696,1904,0,0.062605,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_agentic-workflow-a1_chained_t1--/session-324ceb69-5c01-4057-843b-11c5e823abfb/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_agentic-workflow-a1_chained_t1.log
gpt-sol,gpt,gpt-5.6-sol,agentic-workflow,a1_chained,1,high,agentic,96,45,169281,3571,0,0.191996,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_agentic-workflow-a1_chained_t1--/session-5ef3797d-b8c7-43d3-8405-5e3356264e2d/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_agentic-workflow-a1_chained_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,agentic-workflow,a1_chained,1,high,agentic,83,16018,273152,9589,5543,0.005692,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_agentic-workflow-a1_chained_t1--/session-bb374b46-b8fc-42e8-8d72-9a5331674fce/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_agentic-workflow-a1_chained_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,coding,c1_deadlock,1,high,agentic,151,15845,131968,14533,11224,0.006657,1,0,3,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c1_deadlock_t1--/session-aa3b04ec-ca2c-428e-b794-fcc51f3102df/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c1_deadlock_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,coding,c2_perf,1,high,agentic,176,12805,179456,16429,12749,0.006895,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c2_perf_t1--/session-d7d29a0e-c86c-46f6-afd3-c89b679a2220/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c2_perf_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,agentic-workflow,a2_buildtestfix,1,high,agentic,51,13551,143616,5921,2826,0.003957,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_agentic-workflow-a2_buildtestfix_t1--/session-a30b2c81-a687-4f79-b5c9-50e9866a4580/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_agentic-workflow-a2_buildtestfix_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,agentic-workflow,a1_chained,2,high,agentic,81,16527,318336,8735,4660,0.005651,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_agentic-workflow-a1_chained_t2--/session-4c29bf28-bec1-4987-96fb-b85e88867ffe/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_agentic-workflow-a1_chained_t2.log
deepseek-flash,deepseek,deepseek-v4-flash,agentic-workflow,a2_buildtestfix,2,high,agentic,70,12822,124032,8260,5749,0.004455,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_agentic-workflow-a2_buildtestfix_t2--/session-2a5308dc-8825-4ca6-96d1-dcbcfe8ddac3/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_agentic-workflow-a2_buildtestfix_t2.log
deepseek-flash,deepseek,deepseek-v4-flash,coding,c1_deadlock,2,high,agentic,236,24442,761728,24371,17182,0.012379,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c1_deadlock_t2--/session-460a5a75-b83d-4480-8f68-dbba277bb4bd/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c1_deadlock_t2.log
