model,task,trial,effort,seconds,grade_seconds,tokens,passed,tests_failed,notes
deepseek,h1_perf,1,high,306,0,104084,1,0,
deepseek,h2_concurrency,1,high,87,1,65702,1,0,
deepseek,h3_bigcontext,1,high,83,0,74039,1,0,
deepseek,h4_underspec,1,high,266,0,92389,0,1,
deepseek,h5_longhorizon,1,high,68,0,63111,1,0,
gpt,h1_perf,1,high,279,1,35262,1,0,
gpt,h2_concurrency,1,high,346,1,49129,1,0,
gpt,h3_bigcontext,1,high,139,0,38693,1,0,
gpt,h4_underspec,1,high,180,0,35449,1,0,
gpt,h5_longhorizon,1,high,99,0,33731,1,0,
deepseek,h1_perf,2,high,382,0,94864,1,0,
deepseek,h2_concurrency,2,high,98,1,64403,1,0,
deepseek,h3_bigcontext,2,high,134,0,78747,1,0,
deepseek,h4_underspec,2,high,322,0,93820,1,0,
deepseek,h5_longhorizon,2,high,39,0,58812,1,0,
gpt,h1_perf,2,high,285,1,39998,1,0,
gpt,h2_concurrency,2,high,219,1,30350,1,0,
gpt,h3_bigcontext,2,high,121,0,34600,1,0,
gpt,h4_underspec,2,high,196,0,45868,1,0,
gpt,h5_longhorizon,2,high,151,0,28579,1,0,
deepseek,h1_perf,3,high,256,0,122280,1,0,
deepseek,h2_concurrency,3,high,67,0,60764,1,0,
deepseek,h3_bigcontext,3,high,118,0,82300,1,0,
deepseek,h4_underspec,3,high,170,0,75777,1,0,
deepseek,h5_longhorizon,3,high,55,0,61143,1,0,
gpt,h1_perf,3,high,209,1,24861,1,0,
gpt,h2_concurrency,3,high,241,1,45908,1,0,
gpt,h3_bigcontext,3,high,168,0,66930,1,0,
gpt,h4_underspec,3,high,235,0,59680,1,0,
gpt,h5_longhorizon,3,high,122,0,22403,1,0,
