model,task,trial,effort,seconds,tokens,passed,tests_failed,notes
deepseek,t1_bugfix,1,high,27,46116,1,0,
deepseek,t2_multifile,1,high,20,54800,1,0,
deepseek,t3_tdd,1,high,21,54418,1,0,
deepseek,t4_debug,1,high,35,55810,1,0,
deepseek,t5_refactor,1,high,23,54556,1,0,
gpt,t1_bugfix,1,high,35,18427,1,0,
gpt,t2_multifile,1,high,59,15330,1,0,
gpt,t3_tdd,1,high,37,12298,1,0,
gpt,t4_debug,1,high,51,15368,1,0,
gpt,t5_refactor,1,high,68,16749,1,0,
deepseek,t1_bugfix,2,high,15,53701,1,0,
deepseek,t2_multifile,2,high,30,56568,1,0,
deepseek,t3_tdd,2,high,24,54992,1,0,
deepseek,t4_debug,2,high,18,54745,1,0,
deepseek,t5_refactor,2,high,22,54765,1,0,
gpt,t1_bugfix,2,high,54,32513,1,0,
gpt,t2_multifile,2,high,92,17542,1,0,
gpt,t3_tdd,2,high,34,12425,1,0,
gpt,t4_debug,2,high,63,17794,1,0,
gpt,t5_refactor,2,high,37,21326,1,0,
deepseek,t1_bugfix,3,high,16,53910,1,0,
deepseek,t2_multifile,3,high,48,58868,1,0,
deepseek,t3_tdd,3,high,17,53780,1,0,
deepseek,t4_debug,3,high,26,54904,1,0,
deepseek,t5_refactor,3,high,27,55416,1,0,
gpt,t1_bugfix,3,high,45,16139,1,0,
gpt,t2_multifile,3,high,65,25158,1,0,
gpt,t3_tdd,3,high,38,12054,1,0,
gpt,t4_debug,3,high,58,22715,1,0,
gpt,t5_refactor,3,high,40,14019,1,0,
