arm,vendor,model,category,task,trial,effort,mode,seconds,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,cost_usd,passed,tests_failed,grade_seconds,notes,session_path,log_path
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k1_product,1,off,singleshot,13,134,128,967,0,0.00029,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k1_product_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k2_story,1,off,singleshot,4,87,0,277,0,9e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k2_story_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w1_explain,1,off,singleshot,3,50,0,209,0,6.6e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w1_explain_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w2_rewrite,1,off,singleshot,1,296,0,105,0,7.1e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w2_rewrite_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r1_tiling,1,high,singleshot,198,136,128,20000,20000,0.005619,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r1_tiling_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r2_expectedflips,1,high,singleshot,8,151,128,997,719,0.000301,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r2_expectedflips_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t1_orchestrate,1,high,singleshot,7,899,896,989,649,0.000405,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t1_orchestrate_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t2_toolselect,1,high,singleshot,1,1108,1024,149,81,0.0002,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t2_toolselect_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k1_product,2,off,singleshot,9,134,128,658,0,0.000203,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k1_product_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k2_story,2,off,singleshot,5,87,0,300,0,9.6e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k2_story_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r1_tiling,2,high,singleshot,195,136,128,20000,20000,0.005619,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r1_tiling_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r2_expectedflips,2,high,singleshot,6,151,128,670,376,0.000209,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r2_expectedflips_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t1_orchestrate,2,high,singleshot,5,899,896,659,549,0.000313,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t1_orchestrate_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t2_toolselect,2,high,singleshot,1,1108,1024,167,101,0.000205,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t2_toolselect_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w1_explain,2,off,singleshot,3,50,0,219,0,6.8e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w1_explain_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w2_rewrite,2,off,singleshot,1,296,256,98,0,7e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w2_rewrite_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k1_product,3,off,singleshot,11,134,128,756,0,0.000231,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k1_product_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,creativity,creativity/k2_story,3,off,singleshot,4,87,0,216,0,7.3e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_creativity-k2_story_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r1_tiling,3,high,singleshot,200,136,128,20000,20000,0.005619,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r1_tiling_t3.json
